id;artist;album;comment;genre;title;track;total;year;fieldname;bitrate;bitspersample;codec;covermimetype;coversize;covertype;coverheight;coverwidth;covers;lengthseconds;mode;samplerate;tool;vbr;directory;extension;filename;filenameext;filenamerel;folderpath;folderpathrel;parentdirectory;path;volume;workingdir;workingpath;filecreatedate;filemoddate;filesizebytes;crc_val;md_5_val;md_5_audio_val;app_val
1;Executive Comoros Music;Unbranded synergize Vista;Automated Metal;Frozen world-class;feed Awesome Auto;deposit;invoice cross-platform;parsing visionary Frozen;methodical Rubber override;neutral quantify;info-mediaries Hat connecting;Shoes fuchsia Soap;Plastic Avon green;Sudan;Minnesota Investor;Intelligent invoice card;program;tangible Wisconsin;Handcrafted Architect compelling;Applications;bypassing Brunei analyzing;Fantastic SMS;Global Electronics digital;Computers;Cliff Steel;Wooden Fresh Account;Accounts bandwidth wireless;systemic;AI Bedfordshire;Gloves parse;olive Brazil Tasty;Investment;Fresh Direct;services Borders;bus Savings ADP;Intelligent Hill;Gloves synergize Borders;Intranet cross-platform;Cotton;Borders payment;Sleek;fuchsia
2;dynamic Liaison;Intelligent RSS;Dollar benchmark;Causeway Ohio payment;Incredible Direct Soft;Product connecting calculate;Legacy;Awesome;HTTP Dynamic programming;Reactive convergence Kentucky;green transmitting Bedfordshire;Mississippi;Supervisor Senior;revolutionize invoice;Alaska;navigate;Expanded;withdrawal Avon;parse Plastic;Representative payment mobile;Buckinghamshire;synthesizing models;XSS;Fresh Luxembourg;Chicken;Optimized;Account payment;Bedfordshire Som quantify;portals lime compressing;Grocery;withdrawal Plastic Borders;Central;Orchestrator;Ariary Fully-configurable;Multi-layered hacking;tolerance;Georgia Utah Savings;Accountability;hacking Savings;Interactions Hryvnia;architectures bricks-and-clicks hybrid;implement facilitate Cambridgeshire
3;withdrawal Intelligent Upgradable;niches;Mouse Internal;Hat Pakistan;Factors SCSI invoice;4th;Minnesota;monetize multi-byte;TCP Slovenia integrate;Frozen;generate;Soft AGP Manors;maroon Savings Mouse;connecting Team-oriented;Accountability Pakistan azure;AI haptic Cuban;system;backing input;Developer;overriding transmitter;Tenge port online;firewall JSON next-generation;Chair web-enabled Oman;Metal Front-line bandwidth;bluetooth deposit composite;Carolina;Pizza Shoes overriding;e-tailers Supervisor card;Representative Pants;deliver Alaska Row;Brunei Keyboard Loan;black Mouse;Key Shirt Bacon;supply-chains up;Account;Universal;Iowa;TCP Borders;Cross-group;olive Decentralized;ROI;open-source Extended
4;enterprise Technician Future;Avon generate Kuwait;database bypassing Islands;Borders Plastic Kids;cross-platform Pants groupware;Web navigate Buckinghamshire;real-time;hacking repurpose program;Angola scalable;Architect;black;Squares application;deposit;Buckinghamshire neural;Soft Pizza Executive;upward-trending;Concrete Frozen Tanzanian;magnetic deliver;Sri;next-generation;Mouse;invoice Licensed;Designer Awesome;Soft Product Rubber;Up-sized Identity Analyst;Generic architectures;Games invoice;networks grow primary;Senior Utah Handmade;structure Handcrafted Steel;Licensed Spurs digital;New;grid-enabled Dynamic Orchestrator;Direct Card;ADP target;Loan toolset overriding;help-desk;solid Generic Fantastic;card;sensor program;Granite Sports;Cambridgeshire parsing
5;Profit-focused multi-byte leverage;Cape;world-class;Internal Architect;Account;virtual Concrete;Licensed Refined;blue Nepal Avon;coherent;Trinidad Crescent De-engineered;Checking magenta;Forward Mandatory Beauty;Fantastic needs-based program;withdrawal;Analyst lavender Cotton;application mission-critical;Cotton up Tonga;cohesive;gold fuchsia;South out-of-the-box;navigating SMS;navigating mission-critical Avon;Hawaii Borders;Markets Overpass Garden;mobile;Tactics Dynamic Keyboard;turquoise;niches;SDD;Facilitator programming Central;Regional indexing synthesize;Fantastic bypass;Dollar;Metrics;Mountains;throughput evolve;strategy;Nigeria Architect calculate;Plastic;Account Mission synergy;Tuna;Future Borders
6;Faroe Multi-layered;infomediaries Loan;Dollar;instruction Soap tangible;violet Legacy Optimization;metrics Avon;Loan Home;compress Avon intermediate;Tasty Uganda;architecture Granite Ball;neural;microchip Cambridgeshire;override array Strategist;compress;yellow;Savings;virtual;Fish channels Oman;Architect Mali;hack Suriname;leading-edge Account Sudan;generating;website;payment;maximize;America Buckinghamshire Wyoming;Metal Rustic;Soft visualize;pixel auxiliary;Borders;engage productize lime;deliver Executive synthesize;back RSS;optical optical;Loan Kansas Borders;Concrete Mouse Gorgeous;leading Cambridgeshire;generate Latvian Jersey;Oregon;visualize cross-media Bedfordshire;port back-end Buckinghamshire;generate Loan connect
7;overriding;FTP;HDD;payment wireless Washington;Utah;web-enabled;system PNG;Cheese deposit;Cross-platform;Shoes;Handmade;Sleek Ergonomic Soft;scalable;magenta calculating program;deposit lime;Planner;Quality-focused eyeballs;deposit experiences Customer-focused;Granite Plastic;UIC-Franc Designer;Frozen Account;neural driver Cyprus;back-end secondary;Bacon;Plastic;Account;incremental Personal;connecting Frozen Refined;Generic blue Product;of;Falkland Director;parse one-to-one;recontextualize systems;Montana Metal Fresh;mobile;Senior Louisiana Decentralized;Pants input;Iceland next copying;full-range payment;virtual Computer project;Cheese;Tactics Incredible
8;Shirt Designer;withdrawal;explicit Station;bypassing Plastic;Burgs Borders Metal;Quality Computer synthesizing;Program Concrete;Cayman;niches array;granular Shoes;Ireland;hard implement Delaware;Money;Multi-channelled networks functionalities;Russian Cambridgeshire transmit;Djibouti Interactions Global;Wall interface;Chips Account;system-worthy reboot Automotive;compelling visionary;Mauritania Account modular;Union;SDD microchip;driver withdrawal;salmon Vermont;parsing standardization Awesome;Beauty;programming;intermediate Soft firewall;Rustic Plastic Ariary;Optimized;Integrated red US;Ball compelling;monitor blue Focused;mindshare 24/365 bypassing;matrix Refined;Fuerte convergence wireless;Afghanistan optimizing Credit;Bike;Buckinghamshire Ocean Producer;Account deposit;Tuna global
9;Hampshire users;partnerships Estonia;optical Avon;Dynamic;Michigan Intranet;Outdoors;Frozen Facilitator;indigo open-source Synchronised;quantifying Creative Generic;Rustic Spring transmitting;clicks-and-mortar;red;Optional Metal;hack data-warehouse Branding;methodology;Bacon Borders;RAM;Concrete Dynamic Carolina;online Hat;Lead architect;Borders;Creative red monitor;Future;Executive Representative;Principal Dong facilitate;orange alarm generating;synthesizing Krona Executive;backing black;bypassing;Facilitator;Quality impactful needs-based;e-tailers;France array;Future Ameliorated users;channels PCI;Account navigate;1080p open-source Montana;Agent;Ergonomic;Frozen non-volatile;neutral;XML global
10;violet;quantify;Wisconsin 24/7;virtual composite Gloves;Texas;calculating local frictionless;plum;Shoes Quality Small;rich;Card Account;Centralized 1080p Unbranded;Dynamic RSS Identity;Technician Berkshire optical;Forks Manager;Berkshire Wooden compressing;transmit Bedfordshire;Frozen website capacitor;Cotton;Chair Berkshire;Chief;empower Card;action-items Plains;Virtual;hardware Account;Account;application;Configuration yellow;Sausages;Avon Concrete;Sri;management;lavender Granite zero;circuit;orchid;infomediaries Yen;Web purple Phased;Frozen magnetic;Ball;Computers;ROI wireless synergistic;Future;Lead deposit
